seed	num_customers	loc_range	gurobi_ofv	gurobi_lb	gurobi_gap	gurobi_runtime	BB_ofv	BB_lb	BB_gap	BB_runtime	ppo_ofv	ppo_lb	ppo_gap	ppo_runtime
1084	15	((0, 0), (30, 30))	425.2396978	422.7197637	0.005925915	3600.669	437.4644273	233.6103739	0.465990011	4979.01176	426.4050788	423.9894771	0.00566504	489.1384892
1022	15	((0, 0), (30, 30))	402.4068096	402.4068096	0	3155.939	403.9701694	225.1774765	0.44258885	4479.687928	403.8890707	401.3199888	0.00636086	1113.018913
1063	15	((0, 0), (30, 30))	425.3659879	425.3659879	0	1281.302	438.9031391	230.1023985	0.475733076	4061.200917	427.7884839	425.0976987	0.00628999	233.1930707
1078	15	((0, 0), (30, 30))	418.052231	377.2910599	0.09750258	3601.281	424.630828	221.6773779	0.477952698	4485.98859	411.5973968	408.6088454	0.007260861	47.4622345
1060	15	((0, 0), (30, 30))	408.0177566	404.5067313	0.00860508	3601.037	423.3620498	220.6818454	0.478739661	4039.472747	407.2485775	404.6420634	0.006400303	59.83670998
Average			415.8164966	406.4580705	0.022406715	3048.0456	425.6661227	226.2498945	0.46820086	4409.072389	415.3857215	412.7316147	0.006395411	388.5298835
1043	15	((0, 0), (50, 50))	479.9687947	431.2268869	0.101552243	3601.528	440.3142327	247.0587205	0.438903624	4015.284217	435.0443604	431.7071591	0.007670945	32.09069443
1089	15	((0, 0), (50, 50))	490.3041773	376.0868359	0.232952005	3614.595	446.4697491	252.8979744	0.433560785	3600.003967	438.9427599	435.6413838	0.0075212	37.4618361
1019	15	((0, 0), (50, 50))	442.7745775	430.2280311	0.028336194	3601.769	448.7634235	250.8555607	0.441007115	4539.628074	435.8263851	433.0741435	0.006314995	145.2549748
1067	15	((0, 0), (50, 50))	466.8503003	427.2383128	0.084849442	3601.518	446.7183476	246.1475696	0.448987106	3600.001839	433.8632704	431.2801268	0.005953819	65.51141191
1098	15	((0, 0), (50, 50))	499.3100076	395.4798859	0.207947207	3601.569	474.5044576	267.9022265	0.435406302	3762.178957	463.2574926	460.55185	0.005840472	33.235708
Average			475.8415715	412.0519905	0.131127418	3604.1958	451.3540421	252.9724103	0.439572986	3903.419411	441.3868537	438.4509326	0.006660286	62.71092505
1062	15	((0, 0), (100, 100))	726.5546054	497.9034849	0.314706037	3602.019	520.8914707	323.4267284	0.37908999	3600.006849	520.98147	518.2763245	0.005192403	31.64878654
1063	15	((0, 0), (100, 100))	665.3366378	561.7909101	0.155629078	3602.058	645.2922976	373.1743713	0.421697155	3600.010899	571.8006308	568.8423579	0.005173609	21.74401951
1086	15	((0, 0), (100, 100))	588.8684393	553.1349609	0.060681599	3602.398	604.5900865	356.9037964	0.4096764	4281.71871	560.7519325	558.6363772	0.003772712	23.42980695
1007	15	((0, 0), (100, 100))	626.8009755	516.9715964	0.175222094	3604.482	558.8361023	361.8175957	0.352551501	3659.720543	548.5123206	546.1873197	0.00423874	340.1948581
1004	15	((0, 0), (100, 100))	773.3072308	394.4657169	0.489897804	3616.655	568.6263936	370.3496517	0.348694229	3600.01293	552.8259763	550.2108508	0.004730468	68.12164617
Average			676.1735778	504.8533338	0.239227322	3605.5224	579.6472701	357.1344287	0.382341855	3748.293986	550.974466	548.430646	0.004621586	97.02782345
